value;areas;bedrooms;spaces;bathrooms
600000.0;245.0;3.0;3.0;4.0
1600000.0;700.0;4.0;4.0;5.0
1700000.0;380.0;4.0;4.0;7.0
400000.0;130.0;3.0;2.0;1.0
770000.0;418.0;3.0;4.0;5.0
800000.0;182.0;4.0;5.0;3.0
850000.0;630.0;3.0;3.0;3.0
1000000.0;300.0;4.0;5.0;5.0
420000.0;360.0;3.0;2.0;3.0
580000.0;100.0;3.0;3.0;3.0
1200000.0;400.0;4.0;4.0;3.0
3500000.0;410.0;5.0;6.0;7.0
1200000.0;490.0;3.0;3.0;4.0
950000.0;325.0;5.0;2.0;6.0
200000.0;70.0;2.0;1.0;2.0
1000000.0;460.0;5.0;4.0;6.0
650000.0;275.0;3.0;4.0;2.0
1200000.0;480.0;6.0;5.0;5.0
800000.0;380.0;4.0;4.0;5.0
1272000.0;450.0;6.0;5.0;4.0
600000.0;245.0;3.0;3.0;5.0
800000.0;235.0;4.0;6.0;3.0
245000.0;90.0;2.0;1.0;1.0
380000.0;120.0;2.0;1.0;3.0
300000.0;98.0;3.0;1.0;3.0
249000.0;75.0;2.0;1.0;2.0
1150000.0;291.0;4.0;6.0;6.0
800000.0;230.0;3.0;4.0;3.0
850000.0;385.0;6.0;6.0;4.0
530000.0;138.0;4.0;4.0;3.0
190000.0;90.0;2.0;1.0;1.0
850000.0;205.0;3.0;4.0;4.0
210000.0;68.0;2.0;1.0;2.0
530000.0;200.0;3.0;2.0;2.0
330000.0;95.0;2.0;1.0;2.0
700000.0;250.0;3.0;5.0;5.0
1600000.0;450.0;4.0;6.0;4.0
299000.0;82.0;2.0;1.0;3.0
510000.0;131.0;3.0;3.0;3.0
350000.0;89.0;3.0;2.0;2.0
1200000.0;350.0;4.0;4.0;4.0
780000.0;236.0;4.0;5.0;4.0
850000.0;180.0;4.0;4.0;3.0
280000.0;86.0;3.0;1.0;2.0
1100000.0;360.0;3.0;4.0;4.0
600000.0;400.0;5.0;5.0;3.0
950000.0;274.0;4.0;4.0;5.0
300000.0;95.0;2.0;1.0;3.0
590000.0;300.0;3.0;6.0;4.0
2500000.0;500.0;5.0;4.0;7.0
550000.0;160.0;3.0;3.0;2.0
750000.0;430.0;5.0;7.0;7.0
1400000.0;450.0;5.0;4.0;4.0
650000.0;260.0;4.0;4.0;3.0
760000.0;418.0;3.0;4.0;5.0
300000.0;90.0;2.0;1.0;3.0
290000.0;90.0;2.0;1.0;1.0
500000.0;160.0;3.0;2.0;2.0
750500.0;275.0;4.0;4.0;3.0
950000.0;545.0;6.0;4.0;7.0
1100000.0;390.0;5.0;4.0;4.0
1500000.0;280.0;4.0;5.0;4.0
580000.0;220.0;3.0;3.0;1.0
300000.0;65.0;2.0;1.0;2.0
290000.0;75.0;2.0;1.0;2.0
320000.0;90.0;3.0;2.0;1.0
900000.0;400.0;4.0;4.0;5.0
1700000.0;299.0;5.0;4.0;5.0
680000.0;450.0;4.0;4.0;5.0
890000.0;233.0;5.0;3.0;5.0
580000.0;144.0;4.0;5.0;3.0
500000.0;198.0;3.0;2.0;4.0
1950000.0;209.0;6.0;5.0;5.0
690000.0;320.0;5.0;4.0;6.0
350000.0;89.0;3.0;2.0;2.0
2500000.0;490.0;4.0;4.0;5.0
450000.0;150.0;2.0;2.0;2.0
1300000.0;321.0;5.0;4.0;4.0
2756000.0;420.0;4.0;4.0;6.0
1200000.0;353.0;5.0;4.0;6.0
480000.0;200.0;3.0;1.0;2.0
690000.0;203.0;3.0;5.0;4.0
800000.0;188.0;3.0;5.0;4.0
950000.0;188.0;4.0;3.0;5.0
650000.0;236.0;5.0;3.0;4.0
1200000.0;314.0;6.0;4.0;5.0
1000000.0;200.0;3.0;3.0;4.0
1000000.0;352.0;4.0;3.0;5.0
1000000.0;270.0;5.0;5.0;5.0
720000.0;460.0;3.0;4.0;6.0
3200000.0;400.0;5.0;4.0;7.0
350000.0;100.0;2.0;1.0;3.0
5500000.0;493.0;6.0;4.0;7.0
600000.0;198.0;4.0;4.0;4.0
550000.0;200.0;3.0;2.0;3.0
990000.0;300.0;4.0;4.0;3.0
600000.0;300.0;3.0;2.0;3.0
245000.0;65.0;2.0;1.0;1.0
1100000.0;200.0;3.0;3.0;4.0
700000.0;190.0;4.0;4.0;3.0
600000.0;300.0;3.0;2.0;4.0
750000.0;418.0;3.0;4.0;4.0
590000.0;245.0;4.0;3.0;5.0
750000.0;210.0;3.0;2.0;3.0
650000.0;150.0;4.0;4.0;2.0
400000.0;200.0;3.0;1.0;3.0
780000.0;320.0;3.0;;3.0
1200000.0;330.0;4.0;3.0;4.0
1500000.0;480.0;4.0;3.0;6.0
1100000.0;170.0;3.0;6.0;3.0
1380000.0;400.0;3.0;3.0;3.0
980000.0;490.0;4.0;4.0;5.0
445000.0;478.0;2.0;4.0;1.0
1180000.0;270.0;4.0;4.0;3.0
340000.0;110.0;3.0;1.0;2.0
580000.0;320.0;3.0;3.0;2.0
900000.0;300.0;4.0;3.0;5.0
590000.0;147.0;3.0;4.0;3.0
1100000.0;259.0;6.0;3.0;6.0
1200000.0;380.0;4.0;4.0;6.0
960000.0;370.0;4.0;4.0;3.0
190000.0;70.0;2.0;1.0;1.0
2500000.0;450.0;4.0;3.0;6.0
1400000.0;320.0;4.0;4.0;6.0
649000.0;245.0;3.0;3.0;4.0
1866000.0;300.0;4.0;;5.0
780000.0;300.0;3.0;4.0;2.0
590000.0;245.0;3.0;3.0;4.0
750000.0;139.0;3.0;4.0;4.0
590000.0;220.0;4.0;2.0;4.0
1200000.0;400.0;4.0;5.0;5.0
1500000.0;390.0;5.0;4.0;6.0
1400000.0;380.0;4.0;4.0;5.0
220000.0;70.0;2.0;1.0;2.0
1400000.0;280.0;4.0;2.0;5.0
285000.0;75.0;2.0;1.0;1.0
1200000.0;350.0;6.0;3.0;7.0
1400000.0;360.0;5.0;5.0;6.0
170000.0;125.0;2.0;;1.0
1200000.0;200.0;4.0;4.0;3.0
750000.0;451.0;5.0;8.0;8.0
18000000.0;818.0;10.0;10.0;12.0
530000.0;125.0;3.0;2.0;4.0
600000.0;200.0;3.0;1.0;2.0
630000.0;540.0;6.0;4.0;3.0
300000.0;90.0;3.0;1.0;2.0
1800000.0;600.0;5.0;4.0;6.0
680000.0;250.0;4.0;2.0;3.0
200000.0;250.0;2.0;3.0;1.0
290000.0;75.0;2.0;1.0;2.0
1300000.0;400.0;5.0;5.0;5.0
2200000.0;415.0;5.0;2.0;5.0
1200000.0;280.0;4.0;5.0;2.0
215000.0;52.0;2.0;1.0;1.0
245000.0;74.0;2.0;1.0;1.0
790000.0;280.0;3.0;;4.0
2250000.0;290.0;4.0;4.0;5.0
500000.0;125.0;3.0;3.0;2.0
2500000.0;400.0;4.0;6.0;7.0
1850000.0;400.0;5.0;5.0;7.0
1007000.0;230.0;4.0;6.0;5.0
300000.0;74.0;2.0;1.0;2.0
550000.0;200.0;2.0;3.0;2.0
2500000.0;400.0;5.0;4.0;6.0
280000.0;70.0;2.0;1.0;1.0
750000.0;339.0;5.0;5.0;3.0
1800000.0;292.0;6.0;4.0;4.0
750000.0;300.0;4.0;3.0;5.0
330000.0;100.0;3.0;1.0;1.0
1100000.0;315.0;5.0;4.0;5.0
1300000.0;984.0;3.0;4.0;3.0
